,datime,NDSI values
0,2020-01-15 18:13:08,0.3373922146828245
1,2020-02-14 18:13:10,0.2424863834982295
2,2020-03-05 18:13:12,0.19480547130909465
3,2020-04-09 18:13:12,0.124026625996763
4,2020-04-29 18:13:17,-0.039250395297011284
5,2020-05-04 18:13:11,-0.11870747311957766
6,2020-05-29 18:13:20,-0.41863437479911425
7,2020-06-03 18:13:20,-0.38577167002432555
8,2020-06-08 18:13:21,-0.39348437540332515
9,2020-06-18 18:13:20,-0.4806376808668922
10,2020-06-23 18:13:17,-0.4521130812073983
11,2020-07-08 18:13:18,-0.4114198024845471
12,2020-07-13 18:13:16,-0.4864420783867828
13,2020-07-18 18:13:19,-0.4900467498427366
14,2020-07-28 18:13:20,-0.364810866634919
